stage,arm,actor_source,critic_source,reward_access,seed,profile,disturbance_differential_energy,off_diagonal_response_energy,source_sha256
half,an_cp_r1,N,P,1,405,canary_eval_a,0.000614297956188742,0.00014659594289410092,5c29398aceee470d71ecee51ed74f91595758a2d1d9955a20ca6c8a42c07b73e
half,an_cp_r1,N,P,1,405,canary_eval_b,0.001184019253073577,0.00013041743345949708,e30faf43e7318753c9a03e2b40b23fc76dae87c5bcdcc62f8b5ee0fb77a834fa
half,an_cp_r1,N,P,1,405,canary_eval_c,0.0008635981223137858,0.00016043025108798602,c70c989ca6ed9b2d69e0bd78dbfa31f6c0df8707bb6694bccf502f33f73fa807
half,an_cp_r1,N,P,1,405,canary_eval_d,0.0004229504880431724,9.101173221344789e-05,8ad551195403d8b5f8429ed4266b50a03a50b29159aa8dd7bba591174991b758
half,an_cp_r1,N,P,1,406,canary_eval_a,0.0005070325014573546,7.828741826811844e-05,2a70b547815e5ad97cb5c9a042633d3978d3eabfc9ec94f0b37333b37dc84f24
half,an_cp_r1,N,P,1,406,canary_eval_b,0.0008468074282250286,5.7366625758202904e-05,78460c0959048745e6007b2ae53f065b9394062c265251cea052e068db22d13d
half,an_cp_r1,N,P,1,406,canary_eval_c,0.0006173754014508762,9.803342091247346e-05,1af0d8419ab419728748398398c78b6d9194310e43ba12a14f3a23483ed4429a
half,an_cp_r1,N,P,1,406,canary_eval_d,0.00025142288994421663,7.20468624476135e-05,5e51b3137a216a9a94c9396b6a57bc565e08a680705bbc5bd4b3a541d8f2e04e
half,ap_cn_r0,P,N,0,401,canary_eval_a,0.0008015987195011264,5.967437264014387e-05,cee39589e6fc4842fd4370831c18baedbfe360a058772b9e0d0b1e882294708f
half,ap_cn_r0,P,N,0,401,canary_eval_b,0.0006033121265345205,6.466444734950498e-05,943d94a1d41fc25954976127e85bece10bfaf00e32378be2ad95ddab07de1ce7
half,ap_cn_r0,P,N,0,401,canary_eval_c,0.0007272272235059239,6.964944271579173e-05,e96c85dedf6b7db673c882c8110f57b6dd77ed0e09b4451720a3e13ccde44049
half,ap_cn_r0,P,N,0,401,canary_eval_d,0.00029230115996973474,9.379730095717885e-05,2018519e9d18b0468c3a2f4e10b0895e1f4d95b8d3013f26a5e92101378d7f6e
half,ap_cn_r0,P,N,0,402,canary_eval_a,0.00020015458632382423,5.383312930519287e-05,cfd6ecf7af0390a5e12de445f4097607e1a311dc97f1870fa5c92d8efd718f3d
half,ap_cn_r0,P,N,0,402,canary_eval_b,0.0004880906694496803,6.270950611045166e-05,32db3ab2804a13a2cb6ddef88e2222c626ab1132a80f977d04316622369444da
half,ap_cn_r0,P,N,0,402,canary_eval_c,0.000580774299885397,6.443568625869192e-05,47da1849583c84c767bd2a373f0800fca4504910c5fcd30a353c172e6175380e
half,ap_cn_r0,P,N,0,402,canary_eval_d,0.0002014972217770051,8.134261066680728e-05,868f2cfe95a011171da101fb009bd938b59ee2d07a7c8464114816b5c6fe064e
half,ap_cn_r0,P,N,0,403,canary_eval_a,0.0002854669403239403,6.496155422190916e-05,940c67965baaca7747175a87c305b3edc16f4b07d6dbc2a6da2b035d4f490624
half,ap_cn_r0,P,N,0,403,canary_eval_b,0.0007228323482915273,6.757453731670823e-05,25cb58f5b08f3a8e41cab2b81732a1cb322fd81fd0d73ed8fff007bff546f0ee
half,ap_cn_r0,P,N,0,403,canary_eval_c,0.0007206976223683888,9.171524742841006e-05,6f800a341322cedf80d9d9e252b06988022dd7638173d357c2ac6520ddcb0a4d
half,ap_cn_r0,P,N,0,403,canary_eval_d,0.00022323515932567498,7.9994217712833e-05,f38aca9c62396a4576017ea52b77473cd68f4ef366fe97f3eb50fcd8e3d15a7c
half,ap_cn_r0,P,N,0,404,canary_eval_a,0.00044809614097467273,9.72393452577789e-05,21e1966abbc25f50b20eaea23839e35191794e25a083d56ee294184c7da63341
half,ap_cn_r0,P,N,0,404,canary_eval_b,0.0007300643890915967,8.253024017492395e-05,c1f2b05c32b81f178a0304ca49e9c7a5512ce5e9b9fdb266b4e422eb037770bb
half,ap_cn_r0,P,N,0,404,canary_eval_c,0.0005736065467115044,0.00012978667614959124,4ebf72288a9846522524311c8c1fbd9d545595724e0abf74554afa0685e31d57
half,ap_cn_r0,P,N,0,404,canary_eval_d,0.0002071249394125854,8.148561938904282e-05,c1262263f2dc2a1057bc08bccac9aab83f6758f1c2d2381c5f67d395a0acf2ae
half,ap_cn_r0,P,N,0,405,canary_eval_a,0.00034903004236409423,5.05183307763112e-05,420cbfd62412905d4d83eb16b01d0afad38a6230d292e37e17f6cb77c5eca607
half,ap_cn_r0,P,N,0,405,canary_eval_b,0.0006233875680417093,5.7094369695700884e-05,153d6926da319d2f5086cb0de5c97ef9b3ea734b6666f93f6a84df5f32c762ba
half,ap_cn_r0,P,N,0,405,canary_eval_c,0.0006018446710487527,6.059857027422273e-05,b4a01a71bfa89cb012ab310c198e633d3c513cd1842bbc5f21043b5b1b1f9533
half,ap_cn_r0,P,N,0,405,canary_eval_d,0.0002460608341832101,5.773967139864138e-05,56fab62da484fcb91f1ddc7210b7380f3aff5fd0313e0270c30ba40493d1fc73
half,ap_cn_r0,P,N,0,406,canary_eval_a,0.00025716032228857147,3.5422430319037504e-05,e1518ed4ba6ba74f1e795d1bd6926aa1615793a6e48a9ab8f9211f53a4a003e2
half,ap_cn_r0,P,N,0,406,canary_eval_b,0.000539459166058239,4.460761512161665e-05,11d5f09f1d56f6ce1a8735a3d73b7ad7fa5f40582a6b6405b81f85b01e25e60d
half,ap_cn_r0,P,N,0,406,canary_eval_c,0.0005018867546008841,4.3123985364479756e-05,3698f7c63c5c57648f06a2da6d298a9da0a212a284b4056d3b881b6a7d017438
half,ap_cn_r0,P,N,0,406,canary_eval_d,0.00023489083230802762,5.3688049532150454e-05,b023955132c67fcbc8b2596e5efb79e1a7911ffa4a62aabff06a703aa79874d6
